Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population
4913-EHYUI,Male,80,No,Yes,Yes,No,0,United States,California,Alpaugh,93201,35.869626,-119.498771,1054
1626-ERCMM,Male,75,No,Yes,Yes,No,0,United States,California,Camp Nelson,93208,36.057458,-118.591951,191
5644-PDMZC,Female,69,No,Yes,No,No,0,United States,California,Delano,93215,35.772244,-119.209689,37280
4160-AMJTL,Female,74,No,Yes,No,No,0,United States,California,Fellows,93224,35.215731,-119.57013,626
0823-HSCDJ,Male,76,No,Yes,No,No,0,United States,California,Temecula,92592,33.507255,-117.029473,46171
0067-DKWBL,Male,69,No,Yes,No,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224
5244-IRFIH,Male,72,No,Yes,Yes,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224
2684-EIWEO,Female,69,No,Yes,No,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224
6683-VLCTZ,Male,73,No,Yes,No,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224
0691-IFBQW,Female,65,No,Yes,No,No,0,United States,California,Biola,93606,36.798882,-120.019511,807
3643-AHCFP,Male,74,No,Yes,Yes,No,0,United States,California,Selma,93662,36.545322,-119.642281,26213
9231-ZJYAM,Female,65,No,Yes,No,No,0,United States,California,Squaw Valley,93675,36.719141,-119.202677,3146
0727-BMPLR,Female,66,No,Yes,No,No,0,United States,California,Fresno,93706,36.654614,-119.903674,35790
0947-MUGVO,Male,71,No,Yes,Yes,No,0,United States,California,Jolon,93928,35.930782,-121.189757,254
0781-LKXBR,Male,65,No,Yes,No,No,0,United States,California,San Francisco,94102,37.7795,-122.419233,28998
1907-UBQFC,Male,69,No,Yes,No,No,0,United States,California,San Francisco,94108,37.791998,-122.408653,13723
6513-EECDB,Male,75,No,Yes,Yes,No,0,United States,California,San Francisco,94114,37.758085,-122.434801,30587
7074-IEVOJ,Female,75,No,Yes,No,No,0,United States,California,San Francisco,94130,37.820894,-122.369725,1458
4750-ZRXIU,Female,68,No,Yes,No,No,0,United States,California,Palo Alto,94304,37.386978,-122.177746,1723
7028-DVOIQ,Male,71,No,Yes,No,No,0,United States,California,Birds Landing,94512,38.140719,-121.838298,138
4208-UFFGW,Male,80,No,Yes,No,No,0,United States,California,Byron,94514,37.83323,-121.601461,10153
9889-TMAHG,Male,66,No,Yes,No,No,0,United States,California,Fremont,94539,37.516791,-121.899117,46917
8919-FYFQZ,Male,73,No,Yes,Yes,No,0,United States,California,Livermore,94550,37.571748,-121.659562,75929
6646-QVXLR,Male,77,No,Yes,Yes,No,0,United States,California,Napa,94558,38.489789,-122.27011,63947
9369-XFEHK,Female,76,No,Yes,Yes,No,0,United States,California,Pleasanton,94566,37.633361,-121.862395,36669
1374-DMZUI,Female,65,No,Yes,No,No,0,United States,California,San Ramon,94583,37.766556,-121.976784,44078
1989-PRJHP,Male,75,No,Yes,Yes,No,0,United States,California,Pleasanton,94588,37.685052,-121.912061,28568
4822-RVYBB,Male,75,No,Yes,No,No,0,United States,California,Berkeley,94704,37.871416,-122.246597,21205
4184-TJFAN,Female,68,No,Yes,Yes,No,0,United States,California,Berkeley,94707,37.897753,-122.279391,11889
4145-UQXUQ,Female,71,No,Yes,No,No,0,United States,California,Berkeley,94710,37.872902,-122.303708,8157
1236-WFCDV,Male,74,No,Yes,No,No,0,United States,California,Greenbrae,94904,37.946617,-122.563571,12010
1271-SJBGZ,Male,77,No,Yes,No,No,0,United States,California,Forest Knolls,94933,38.010092,-122.689442,1025
4441-NIHPT,Female,73,No,Yes,No,No,0,United States,California,Freedom,95019,36.936228,-121.785559,4753
8999-BOHSE,Female,68,No,Yes,No,No,0,United States,California,Gilroy,95020,37.03889,-121.528955,49968
7029-RPUAV,Male,74,No,Yes,Yes,No,0,United States,California,Los Gatos,95030,37.222842,-121.988727,13290
8111-SLLHI,Male,65,No,Yes,Yes,No,0,United States,California,San Jose,95128,37.316146,-121.936285,32804
5293-WXJAK,Female,73,No,Yes,Yes,No,0,United States,California,San Jose,95135,37.28682,-121.723877,15798
4086-YQSNZ,Female,74,No,Yes,Yes,No,0,United States,California,Glencoe,95232,38.358464,-120.579304,21
8399-YNDCH,Male,80,No,Yes,No,No,0,United States,California,Columbia,95310,38.085839,-120.37855,2144
5565-FILXA,Female,76,No,Yes,No,No,0,United States,California,Escondido,92027,33.141265,-116.967221,48690
4187-CINZD,Female,73,No,Yes,No,No,0,United States,California,Lakewood,90712,33.840524,-118.148403,30173
6818-WOBHJ,Female,70,No,Yes,Yes,No,0,United States,California,Fulton,95439,38.493888,-122.777141,476
9134-CEQMF,Male,75,No,Yes,Yes,No,0,United States,California,Nice,95464,39.12334,-122.838198,2223
8519-IMDHU,Male,74,No,Yes,Yes,No,0,United States,California,Alderpoint,95511,40.166028,-123.584144,261
3372-KWFBM,Male,76,No,Yes,No,No,0,United States,California,Bayside,95524,40.825486,-124.049485,1689
7206-GZCDC,Female,75,No,Yes,No,No,0,United States,California,Loleta,95551,40.665952,-124.240051,1447
1768-ZAIFU,Female,74,No,Yes,No,No,0,United States,California,Rio Dell,95562,40.485849,-124.163234,3284
3793-MMFUH,Female,73,No,Yes,No,No,0,United States,California,Davis,95618,38.544002,-121.685559,648
6567-HOOPW,Female,69,No,Yes,No,No,0,United States,California,Folsom,95630,38.672638,-121.147403,51855
8621-MNIHH,Female,75,No,Yes,Yes,No,0,United States,California,Madison,95653,38.674276,-121.961866,844
5419-CONWX,Female,65,No,Yes,No,No,0,United States,California,Pleasant Grove,95668,38.833554,-121.498102,901
7024-OHCCK,Female,77,No,Yes,No,No,0,United States,California,Sheridan,95681,38.984756,-121.345074,1219
5357-TZHPP,Male,67,No,Yes,No,No,0,United States,California,Wheatland,95692,39.043387,-121.409837,3600
0506-LVNGN,Female,78,No,Yes,No,No,0,United States,California,Rancho Cordova,95742,38.591134,-121.161585,299
9809-IMGCQ,Male,65,No,Yes,No,No,0,United States,California,Canyon Dam,95923,40.171312,-121.120605,86
3254-YRILK,Male,74,No,Yes,No,No,0,United States,California,Dobbins,95935,39.381174,-121.21191,614
0529-ONKER,Male,70,No,Yes,No,No,0,United States,California,Forest Ranch,95942,40.077028,-121.494168,1351
5240-IJOQT,Male,69,No,Yes,No,No,0,United States,California,Grass Valley,95949,39.099204,-121.137962,17922
0661-XEYAN,Female,76,No,Yes,No,No,0,United States,California,Nevada City,95959,39.333737,-120.858667,17269
2660-EMUBI,Male,71,No,Yes,No,No,0,United States,California,Escondido,92027,33.141265,-116.967221,48690
7675-OZCZG,Female,76,No,Yes,No,No,0,United States,California,Fallbrook,92028,33.362575,-117.299644,42239
9391-EOYLI,Male,77,No,Yes,Yes,No,0,United States,California,Lewiston,96052,40.704293,-122.803899,1845
2761-OCIAX,Male,74,No,Yes,No,No,0,United States,California,Palo Cedro,96073,40.582399,-122.195512,4931
3068-OMWZA,Male,77,No,Yes,No,No,0,United States,California,Round Mountain,96084,40.923558,-122.059933,459
4154-AQUGT,Male,76,No,Yes,Yes,No,0,United States,California,San Diego,92130,32.957195,-117.202542,28201
8017-LXHFA,Female,77,No,Yes,No,No,0,United States,California,San Diego,92130,32.957195,-117.202542,28201
4248-QPAVC,Female,80,No,Yes,Yes,No,0,United States,California,San Diego,92130,32.957195,-117.202542,28201
4690-LLKUA,Male,68,No,Yes,No,No,0,United States,California,San Diego,92130,32.957195,-117.202542,28201
9490-DFPMD,Female,79,No,Yes,No,No,0,United States,California,San Diego,92130,32.957195,-117.202542,28201
8580-AECUZ,Male,65,No,Yes,No,No,0,United States,California,San Diego,92130,32.957195,-117.202542,28201
5047-LHVLY,Male,68,No,Yes,No,No,0,United States,California,San Diego,92121,32.898613,-117.202937,4258
8375-DKEBR,Female,72,No,Yes,No,No,0,United States,California,Hermosa Beach,90254,33.86532,-118.396336,18693
7279-BUYWN,Female,66,No,Yes,No,No,0,United States,California,Buena Park,90620,33.845706,-118.012204,44442
7156-MHUGY,Male,68,No,Yes,No,No,0,United States,California,Buena Park,90621,33.874224,-117.993368,33528
9606-PBKBQ,Male,69,No,Yes,Yes,No,0,United States,California,Long Beach,90813,33.781086,-118.199049,63136
3536-IQCTX,Male,76,No,Yes,Yes,No,0,United States,California,South Pasadena,91030,34.110444,-118.156957,23984
3132-TVFDZ,Male,70,No,Yes,Yes,No,0,United States,California,Glendale,91202,34.167926,-118.267539,21990
8080-DDEMJ,Male,71,No,Yes,No,No,0,United States,California,Glendale,91204,34.136306,-118.26036,17015
6702-OHFWR,Male,75,No,Yes,No,No,0,United States,California,Reseda,91335,34.200175,-118.540958,68018
4510-PYUSH,Female,67,No,Yes,No,No,0,United States,California,Sylmar,91342,34.321621,-118.399841,81986
8840-DQLGN,Female,65,No,Yes,Yes,No,0,United States,California,Burbank,91502,34.177267,-118.31003,11517
4193-ORFCL,Female,80,No,Yes,No,No,0,United States,California,North Hollywood,91606,34.187599,-118.387125,45358
7776-QWNFX,Male,71,No,Yes,Yes,No,0,United States,California,Chino,91710,33.990646,-117.663025,75319
6689-TCZHQ,Female,70,No,Yes,No,No,0,United States,California,Claremont,91711,34.127621,-117.717863,34716
9497-QCMMS,Male,73,No,Yes,No,No,0,United States,California,San Diego,92117,32.825086,-117.199424,51213
3424-NMNBO,Male,78,No,Yes,Yes,No,0,United States,California,San Diego,92117,32.825086,-117.199424,51213
4514-GFCFI,Female,76,No,Yes,No,No,0,United States,California,San Diego,92117,32.825086,-117.199424,51213
8000-REIQB,Female,73,No,Yes,No,No,0,United States,California,San Diego,92117,32.825086,-117.199424,51213
4795-KTRTH,Female,68,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902
9961-JBNMK,Male,79,No,Yes,No,No,0,United States,California,Desert Center,92239,33.889605,-115.257009,964
6179-GJPSO,Female,67,No,Yes,No,No,0,United States,California,Escondido,92027,33.141265,-116.967221,48690
8290-YWKHZ,Female,69,No,Yes,Yes,No,0,United States,California,Fallbrook,92028,33.362575,-117.299644,42239
8051-HJRLT,Female,72,No,Yes,No,No,0,United States,California,Wrightwood,92397,34.358321,-117.618263,4253
4021-RQSNY,Male,75,No,Yes,Yes,No,0,United States,California,Moreno Valley,92555,33.907361,-117.109972,12743
9061-TIHDA,Male,67,No,Yes,Yes,No,0,United States,California,Murrieta,92563,33.581045,-117.14719,18311
8699-ASUFO,Male,72,No,Yes,Yes,No,0,United States,California,Nuevo,92567,33.82769,-117.102244,7344
4695-WJZUE,Female,68,No,Yes,No,No,0,United States,California,Irvine,92606,33.703976,-117.824172,17621
3988-RQIXO,Female,68,No,Yes,No,No,0,United States,California,Corona Del Mar,92625,33.600987,-117.862734,13422
5931-FLJJF,Male,75,No,Yes,Yes,No,0,United States,California,Midway City,92655,33.744439,-117.98588,8660
3207-OYBWH,Male,74,No,Yes,Yes,No,0,United States,California,Newport Beach,92661,33.601309,-117.902304,4242
7216-EWTRS,Female,78,No,Yes,Yes,No,0,United States,California,Newport Beach,92663,33.62251,-117.927024,22133
2528-HFYZX,Male,66,No,Yes,Yes,No,0,United States,California,Santa Ana,92706,33.765893,-117.881533,37879
4140-MUHUG,Female,73,No,Yes,No,No,0,United States,California,Oak View,93022,34.404544,-119.302118,6503
1587-FKLZB,Male,79,No,Yes,Yes,No,0,United States,California,Santa Barbara,93101,34.419203,-119.710008,31727
5440-FLBQG,Male,69,No,Yes,Yes,No,0,United States,California,Santa Barbara,93110,34.437945,-119.77191,15757
2774-LVQUS,Female,65,No,Yes,Yes,No,0,United States,California,Temecula,92592,33.507255,-117.029473,46171
4612-THJBS,Female,68,No,Yes,No,No,0,United States,California,Terra Bella,93270,35.939068,-119.043666,5868
4094-NSEDU,Female,79,No,Yes,No,No,0,United States,California,Temecula,92592,33.507255,-117.029473,46171
1846-XWOQN,Female,80,No,Yes,No,No,0,United States,California,Bradley,93426,35.842889,-121.004862,1363
3757-NJYBX,Male,77,No,Yes,Yes,No,0,United States,California,Nipomo,93444,35.050345,-120.489599,15405
9898-KZQDZ,Female,65,No,Yes,Yes,No,0,United States,California,Lee Vining,93541,37.890145,-119.184087,504
8263-JQAIK,Male,66,No,Yes,No,No,0,United States,California,Palmdale,93591,34.598221,-117.79593,6787
2205-YMZZJ,Male,75,No,Yes,No,No,0,United States,California,Clovis,93612,36.814539,-119.711868,33856
1254-IZEYF,Female,74,No,Yes,No,No,0,United States,California,Cutler,93615,36.497895,-119.285484,5519
9221-OTIVJ,Female,80,No,Yes,No,No,0,United States,California,Dunlap,93621,36.789213,-119.140338,506
5908-QMGOE,Male,74,No,Yes,No,No,0,United States,California,Fowler,93625,36.625792,-119.672483,5635
0397-GZBBC,Male,70,No,Yes,Yes,No,0,United States,California,South Dos Palos,93665,36.959731,-120.653519,343
7641-EUYET,Male,76,No,Yes,Yes,No,0,United States,California,Tranquillity,93668,36.635661,-120.288644,1130
8922-LIEGH,Female,72,No,Yes,No,No,0,United States,California,Jolon,93928,35.930782,-121.189757,254
8245-UMPYT,Female,66,No,Yes,No,No,0,United States,California,Lockwood,93932,35.989792,-121.055933,538
5186-SAMNZ,Male,75,No,Yes,No,No,0,United States,California,Marina,93933,36.689582,-121.758398,21759
5373-SFODM,Male,65,No,Yes,Yes,No,0,United States,California,San Lucas,93954,36.125529,-120.864443,521
0022-TCJCI,Male,79,No,Yes,No,No,0,United States,California,Daly City,94015,37.680844,-122.48131,63337
5130-IEKQT,Male,73,No,Yes,No,No,0,United States,California,San Francisco,94109,37.794487,-122.42227,56330
3269-ATYWD,Male,79,No,Yes,No,No,0,United States,California,San Francisco,94123,37.800254,-122.436975,22920
0354-WYROK,Female,70,No,Yes,Yes,No,0,United States,California,San Francisco,94130,37.820894,-122.369725,1458
7576-OYWBN,Male,71,No,Yes,No,No,0,United States,California,San Mateo,94402,37.556634,-122.317723,23393
5539-TMZLF,Male,69,No,Yes,No,No,0,United States,California,Concord,94520,38.013825,-122.039144,36186
3336-JORSO,Female,70,No,Yes,No,No,0,United States,California,Hayward,94542,37.656695,-122.048361,11147
6861-XWTWQ,Male,71,No,Yes,Yes,No,0,United States,California,Napa,94559,38.232389,-122.324944,26894
4283-FUTGF,Male,67,No,Yes,No,No,0,United States,California,El Sobrante,94803,37.963995,-122.288296,25399
2397-BRLOM,Male,67,No,Yes,Yes,No,0,United States,California,San Rafael,94901,37.972662,-122.491452,40239
8510-AWCXC,Female,69,No,Yes,No,No,0,United States,California,Novato,94945,38.135897,-122.563683,16429
8225-BTJAU,Male,75,No,Yes,No,No,0,United States,California,Stinson Beach,94970,37.921137,-122.657562,781
1724-BQUHA,Male,67,No,Yes,No,No,0,United States,California,Los Gatos,95032,37.233034,-121.947427,24443
4826-XTSOH,Male,66,No,Yes,Yes,No,0,United States,California,Moss Landing,95039,36.863303,-121.781632,899
2408-WITXK,Female,67,No,Yes,No,No,0,United States,California,San Jose,95110,37.34667,-121.910019,18197
2634-HCZGT,Male,71,No,Yes,Yes,No,0,United States,California,San Jose,95126,37.327069,-121.916819,27023
7503-QQRVF,Male,74,No,Yes,Yes,No,0,United States,California,San Jose,95127,37.375156,-121.795867,60620
0709-TVGUR,Female,70,No,Yes,No,No,0,United States,California,Stockton,95207,38.002125,-121.324979,49965
3001-CBHLQ,Male,76,No,Yes,Yes,No,0,United States,California,Angels Camp,95222,38.071327,-120.632221,4264
4102-OQUPX,Male,67,No,Yes,Yes,No,0,United States,California,Sheep Ranch,95250,38.244806,-120.417301,88
3999-QGRJH,Male,80,No,Yes,No,No,0,United States,California,Ballico,95303,37.4695,-120.672724,809
2454-RPBRZ,Female,67,No,Yes,Yes,No,0,United States,California,Catheys Valley,95306,37.394411,-120.127262,986
2265-CYWIV,Female,68,No,Yes,Yes,No,0,United States,California,Hickman,95323,37.605926,-120.69955,1055
4550-VBOFE,Male,69,No,Yes,Yes,No,0,United States,California,Soulsbyville,95372,37.990574,-120.261821,1519
7409-KIUTL,Female,80,No,Yes,No,No,0,United States,California,Escondido,92027,33.141265,-116.967221,48690
1732-VHUBQ,Female,73,No,Yes,Yes,No,0,United States,California,Escondido,92027,33.141265,-116.967221,48690
0679-IDSTG,Female,73,No,Yes,Yes,No,0,United States,California,Branscomb,95417,39.710591,-123.682799,176
8802-UNOJF,Male,65,No,Yes,No,No,0,United States,California,Philo,95466,39.094102,-123.500853,1113
6313-GIDIT,Male,73,No,Yes,No,No,0,United States,California,Point Arena,95468,38.911299,-123.609588,1352
2845-AFFTX,Male,78,No,Yes,Yes,No,0,United States,California,Westport,95488,39.724433,-123.767578,309
2815-CPTUL,Male,68,No,Yes,No,No,0,United States,California,Gasquet,95543,41.867908,-123.794144,532
1891-FZYSA,Male,65,No,Yes,Yes,No,0,United States,California,Piercy,95587,39.955587,-123.681175,200
9685-WKZGT,Male,67,No,Yes,No,No,0,United States,California,Carmichael,95608,38.626128,-121.328011,58830
6022-UGGSO,Female,70,No,Yes,No,No,0,United States,California,Citrus Heights,95610,38.69508,-121.271616,43718
3923-CSIHK,Female,69,No,Yes,Yes,No,0,United States,California,Herald,95638,38.313447,-121.123886,1745
3677-IYRBF,Female,73,No,Yes,No,No,0,United States,California,Newcastle,95658,38.883224,-121.15918,6096
8118-LSUEL,Male,74,No,Yes,No,No,0,United States,California,Roseville,95678,38.759751,-121.288545,30614
5277-ZLOOR,Female,78,No,Yes,No,No,0,United States,California,Applegate,95703,38.983388,-120.988814,1526
4248-HCETZ,Male,77,No,Yes,Yes,No,0,United States,California,Sacramento,95814,38.584505,-121.491956,16599
9174-FKWZE,Female,70,No,Yes,No,No,0,United States,California,Sacramento,95819,38.567594,-121.437507,15975
5307-DZCVC,Female,78,No,Yes,Yes,No,0,United States,California,Sacramento,95835,38.685069,-121.543709,854
8679-JOEVF,Female,75,No,Yes,No,No,0,United States,California,Sacramento,95838,38.646096,-121.442433,34894
4803-AXVYP,Female,75,No,Yes,No,No,0,United States,California,Butte City,95920,39.449794,-121.936372,303
5649-ANRML,Male,76,No,Yes,No,No,0,United States,California,Clipper Mills,95930,39.562239,-121.14836,282
7395-IGJOS,Male,70,No,Yes,Yes,No,0,United States,California,Quincy,95971,39.971228,-121.041166,6189
7890-VYYWG,Male,67,No,Yes,Yes,No,0,United States,California,Sutter,95982,39.172777,-121.805845,3193
9907-SWKKF,Female,69,No,Yes,No,No,0,United States,California,Twain,95984,40.022184,-121.062384,73
6397-JNZZG,Female,70,No,Yes,Yes,No,0,United States,California,Adin,96006,41.171578,-120.913161,615
7779-LGOVN,Male,74,No,Yes,Yes,No,0,United States,California,Paskenta,96074,39.884395,-122.587513,263
9710-ZUSHQ,Female,77,No,Yes,No,No,0,United States,California,Red Bluff,96080,40.186772,-122.388361,26438
3902-FOIGH,Male,66,No,Yes,Yes,No,0,United States,California,Doyle,96109,40.012675,-120.101857,1177
3318-OSATS,Male,70,No,Yes,No,No,0,United States,California,Sierra City,96125,39.600599,-120.636358,348
2636-ALXXZ,Female,68,No,Yes,No,No,0,United States,California,Tahoe Vista,96148,39.24124,-120.054765,678
9885-CSMWE,Female,65,No,Yes,No,No,0,United States,California,Los Angeles,90007,34.027337,-118.28515,45025
8058-JMEQO,Female,76,No,Yes,No,No,0,United States,California,San Diego,92121,32.898613,-117.202937,4258
7657-DYEPJ,Male,73,No,Yes,No,No,0,United States,California,Los Angeles,90024,34.066303,-118.435479,44150
8276-MQBYC,Male,70,No,Yes,No,No,0,United States,California,Los Angeles,90028,34.099869,-118.326843,30568
6015-VVHHE,Female,68,No,Yes,No,No,0,United States,California,Los Angeles,90039,34.110845,-118.259595,29310
2516-VQRRV,Female,77,No,Yes,No,No,0,United States,California,Culver City,90230,33.993991,-118.39704,31963
7580-UGXNC,Female,73,No,Yes,No,No,0,United States,California,Culver City,90232,34.019323,-118.391902,15195
5178-LMXOP,Male,71,No,Yes,Yes,No,0,United States,California,Gardena,90248,33.876482,-118.284077,9960
7056-IMHCC,Male,69,No,Yes,Yes,No,0,United States,California,Torrance,90501,33.833699,-118.314387,40705
8749-JMNKX,Male,80,No,Yes,Yes,No,0,United States,California,Montebello,90640,34.015217,-118.109962,62425
0917-EZOLA,Male,66,No,Yes,Yes,No,0,United States,California,Lakewood,90713,33.847755,-118.112532,27563
8414-MYSHR,Male,79,No,Yes,No,No,0,United States,California,Arcadia,91007,34.128284,-118.047732,30933
4988-IQIGL,Male,80,No,Yes,No,No,0,United States,California,Canoga Park,91304,34.224377,-118.632656,49242
4706-AXVKM,Female,78,No,Yes,No,No,0,United States,California,Stevenson Ranch,91381,34.364153,-118.615583,9937
5889-JTMUL,Female,67,No,Yes,Yes,No,0,United States,California,Castaic,91384,34.506627,-118.699048,22177
9026-RNUJS,Male,73,No,Yes,No,No,0,United States,California,Van Nuys,91401,34.178483,-118.431791,40376
1624-NALOJ,Male,75,No,Yes,No,No,0,United States,California,North Hollywood,91605,34.207295,-118.400022,57146
6210-KBBPI,Male,67,No,Yes,No,No,0,United States,California,West Covina,91790,34.066964,-117.937007,44099
2260-USTRB,Female,75,No,Yes,No,No,0,United States,California,Campo,91906,32.673483,-116.472863,3133
8623-TMRBY,Male,80,No,Yes,Yes,No,0,United States,California,Chula Vista,91915,32.605012,-116.97595,9278
6900-PXRMS,Male,72,No,Yes,Yes,No,0,United States,California,Spring Valley,91978,32.730264,-116.950963,7863
3346-BRMIS,Female,70,No,Yes,Yes,No,0,United States,California,Bonsall,92003,33.290907,-117.202895,3849
2722-JMONI,Female,73,No,Yes,Yes,No,0,United States,California,Escondido,92029,33.079834,-117.134275,17944
7579-OOPEC,Female,75,No,Yes,Yes,No,0,United States,California,Pala,92059,33.384345,-117.072619,1831
1771-OADNZ,Male,70,No,Yes,Yes,No,0,United States,California,Pauma Valley,92061,33.313828,-116.940501,2615
0612-RTZZA,Female,77,No,Yes,No,No,0,United States,California,Vista,92084,33.22784,-117.200024,44692
4433-JCGCG,Male,80,No,Yes,Yes,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224
9488-HGMJH,Female,78,No,Yes,No,No,0,United States,California,Indian Wells,92210,33.537646,-116.291089,3873
4818-QIUFN,Female,69,No,Yes,No,No,0,United States,California,Desert Hot Springs,92241,33.832799,-116.250973,5529
6961-VCPMC,Male,71,No,Yes,Yes,No,0,United States,California,North Palm Springs,92258,33.906496,-116.569499,732
4424-TKOPW,Male,70,No,Yes,No,No,0,United States,California,Crestline,92325,34.248061,-117.29028,10484
4201-JMNGR,Female,66,No,Yes,No,No,0,United States,California,Lucerne Valley,92356,34.508417,-116.856103,5256
1866-RZZQS,Male,77,No,Yes,No,No,0,United States,California,Redlands,92373,34.003243,-117.138286,31230
8631-NBHFZ,Male,71,No,Yes,Yes,No,0,United States,California,Running Springs,92382,34.186211,-117.07683,5395
4958-XCBDQ,Male,68,No,Yes,No,No,0,United States,California,Victorville,92394,34.567058,-117.362329,12083
8337-UPOAQ,Male,71,No,Yes,Yes,No,0,United States,California,Wrightwood,92397,34.358321,-117.618263,4253
6712-OAWRH,Female,79,No,Yes,No,No,0,United States,California,San Bernardino,92408,34.084909,-117.258107,12149
5914-DVBWJ,Female,80,No,Yes,No,No,0,United States,California,Riverside,92508,33.885499,-117.324959,17147
8644-XLFBW,Male,65,No,Yes,No,No,0,United States,California,Lake Elsinore,92532,33.705836,-117.318204,4546
1833-VGRUM,Female,70,No,Yes,No,No,0,United States,California,Perris,92570,33.787298,-117.320676,36817
